minute_of_day,hour,minute,entropy,n_observations
605,10,5,1.6325948924976457,34
606,10,6,1.5804055539441944,34
607,10,7,1.4978098303037495,34
608,10,8,1.5109975072362976,34
609,10,9,1.5668838169389487,34
610,10,10,1.5109975072362976,34
611,10,11,1.6404741496803616,34
612,10,12,1.4282648898155057,34
613,10,13,1.4707602850524553,34
614,10,14,1.4183533479345782,34
615,10,15,1.5515687894928374,34
616,10,16,1.3891825234105246,34
617,10,17,1.4062469451304849,34
618,10,18,1.5181075072174655,34
619,10,19,1.4853445004673742,34
620,10,20,1.3918285629048066,34
621,10,21,1.5168768019243353,34
622,10,22,1.5739889616503064,34
623,10,23,1.6183941088363927,34
624,10,24,1.6074550991954883,34
625,10,25,1.5595705794246282,34
626,10,26,1.5920236102411058,34
627,10,27,1.485344500467374,34
628,10,28,1.6325948924976457,34
629,10,29,1.3590990012374453,34
630,10,30,1.5948239361698726,34
631,10,31,1.6806970108329313,34
632,10,32,1.6074550991954883,34
633,10,33,1.5920236102411058,34
634,10,34,1.6269380516438432,34
635,10,35,1.6650479233141233,34
636,10,36,1.5517912433270729,34
637,10,37,1.6076726977599138,34
638,10,38,1.496065911543853,34
639,10,39,1.6076726977599138,34
640,10,40,1.551791243327073,34
641,10,41,1.4333844330634582,34
642,10,42,1.4516607643577664,34
643,10,43,1.466079146583445,34
644,10,44,1.4978098303037495,34
645,10,45,1.7251165190502904,34
646,10,46,1.5668838169389487,34
647,10,47,1.5109975072362978,34
648,10,48,1.417816050328728,34
649,10,49,1.7251165190502904,34
650,10,50,1.6076726977599138,34
651,10,51,1.557651321714028,34
652,10,52,1.6325948924976457,34
653,10,53,1.6543265122376443,34
654,10,54,1.6074550991954883,34
655,10,55,1.54515219719895,34
656,10,56,1.7058511651663613,34
657,10,57,1.6589797521242051,34
658,10,58,1.7407656065690986,34
659,10,59,1.4043183974625661,34
660,11,0,1.5432473005196226,34
661,11,1,1.433384433063458,34
662,11,2,1.4551160528034568,34
663,11,3,1.6325948924976457,34
664,11,4,1.4707602850524553,34
665,11,5,1.5595705794246282,34
666,11,6,1.5073812408711769,34
667,11,7,1.54515219719895,34
668,11,8,1.3444861960096064,34
669,11,9,1.4516607643577668,34
670,11,10,1.5432473005196226,34
671,11,11,1.5024584196986575,34
672,11,12,1.466079146583445,34
673,11,13,1.5432473005196226,34
674,11,14,1.3360253406140252,34
675,11,15,1.5595705794246282,34
676,11,16,1.6543265122376443,34
677,11,17,1.5920236102411056,34
678,11,18,1.6183941088363927,34
679,11,19,1.6325948924976457,34
680,11,20,1.4516607643577664,34
681,11,21,1.5595705794246282,34
682,11,22,1.5517912433270729,34
683,11,23,1.4282648898155057,34
684,11,24,1.6926634882338127,34
685,11,25,1.5668838169389485,34
686,11,26,1.6076726977599138,34
687,11,27,1.6076726977599138,34
688,11,28,1.5330631870489937,34
689,11,29,1.5595705794246282,34
690,11,30,1.6806970108329313,34
691,11,31,1.433384433063458,34
692,11,32,1.5024584196986575,34
693,11,33,1.7407656065690986,34
694,11,34,1.5432473005196226,34
695,11,35,1.5432473005196226,34
696,11,36,1.4169683562069642,34
697,11,37,1.502458419698657,34
698,11,38,1.5073812408711769,34
699,11,39,1.54515219719895,34
700,11,40,1.4252902657624795,34
701,11,41,1.654326512237644,34
702,11,42,1.5168768019243357,34
703,11,43,1.3725632090208775,34
704,11,44,1.4700053888821798,34
705,11,45,1.5073812408711769,34
706,11,46,1.460204707165217,34
707,11,47,1.5379101587072448,34
708,11,48,1.5181075072174655,34
709,11,49,1.388669309943758,34
710,11,50,1.6806970108329313,34
711,11,51,1.5517912433270729,34
712,11,52,1.5739889616503064,34
713,11,53,1.502458419698657,34
714,11,54,1.1883084294182185,34
715,11,55,1.654326512237644,34
716,11,56,1.6076726977599138,34
717,11,57,1.607672697759914,34
718,11,58,1.607672697759914,34
719,11,59,1.5181075072174655,34
720,12,0,1.5739889616503062,34
721,12,1,1.5625126544035521,34
722,12,2,1.6269380516438432,34
723,12,3,1.5432473005196226,34
724,12,4,1.5595705794246282,34
725,12,5,1.6076726977599138,34
726,12,6,1.5517912433270729,34
727,12,7,1.4853445004673742,34
728,12,8,1.5432473005196226,34
729,12,9,1.4252902657624795,34
730,12,10,1.5432473005196226,34
731,12,11,1.5432473005196226,34
732,12,12,1.4853445004673742,34
733,12,13,1.5625126544035521,34
734,12,14,1.4700053888821794,34
735,12,15,1.5625126544035517,34
736,12,16,1.496065911543853,34
737,12,17,1.3918285629048066,34
738,12,18,1.562512654403552,34
739,12,19,1.6076726977599138,34
740,12,20,1.4252902657624795,34
741,12,21,1.4252902657624795,34
742,12,22,1.5168768019243357,34
743,12,23,1.551791243327073,34
744,12,24,1.5625126544035521,34
745,12,25,1.5181075072174652,34
746,12,26,1.6076726977599138,34
747,12,27,1.551791243327073,34
748,12,28,1.3216069583883467,34
749,12,29,1.4853445004673742,34
750,12,30,1.2022744664159828,34
751,12,31,1.0174051189440556,34
752,12,32,0.8343470230852538,34
753,12,33,0.8553529129344397,34
754,12,34,0.8262437571709396,34
755,12,35,0.4305518670104394,34
756,12,36,0.3815804883091629,34
757,12,37,0.19143325481419343,34
758,12,38,0.19143325481419343,34
759,12,39,1.5668838169389487,34
760,12,40,1.6806970108329313,34
761,12,41,1.562512654403552,34
762,12,42,1.6206427761280366,34
763,12,43,1.6183941088363927,34
764,12,44,1.4252902657624795,34
765,12,45,1.6806970108329313,34
766,12,46,1.661431656949002,34
767,12,47,1.6074550991954881,34
768,12,48,1.54515219719895,34
769,12,49,1.6206427761280366,34
770,12,50,1.7322216637616483,34
771,12,51,1.6206427761280366,34
772,12,52,1.6614316569490022,34
773,12,53,1.6206427761280366,34
774,12,54,1.3891825234105246,34
775,12,55,1.5920236102411058,34
776,12,56,1.7407656065690986,34
777,12,57,1.6076726977599138,34
778,12,58,1.6206427761280366,34
779,12,59,1.557651321714028,34
780,13,0,1.705851165166361,34
781,13,1,1.692663488233813,34
782,13,2,1.705851165166361,34
783,13,3,1.5920236102411058,34
784,13,4,1.557651321714028,34
785,13,5,1.665062284345396,34
786,13,6,1.6266487892315213,34
787,13,7,1.6896402436455298,34
788,13,8,1.4627728561519375,34
789,13,9,1.6896402436455298,34
790,13,10,1.701040701378016,34
791,13,11,1.6614316569490022,34
792,13,12,1.654326512237644,34
793,13,13,1.6325948924976457,34
794,13,14,1.5959882977101967,34
795,13,15,1.7033848993102918,34
796,13,16,1.5012892028885232,34
797,13,17,1.5625126544035517,34
798,13,18,1.5330631870489937,34
799,13,19,1.4707602850524553,34
800,13,20,1.4061579482563449,34
801,13,21,1.5073812408711769,34
802,13,22,1.4978098303037495,34
803,13,23,1.3121211078748076,34
804,13,24,1.5668838169389487,34
805,13,25,1.5804055539441944,34
806,13,26,1.6325948924976457,34
807,13,27,1.229776356895191,34
808,13,28,1.6076726977599138,34
809,13,29,1.286074688164428,34
810,13,30,1.5024584196986572,34
811,13,31,1.5804055539441941,34
812,13,32,1.6325948924976457,34
813,13,33,1.5379101587072448,34
814,13,34,1.4551160528034568,34
815,13,35,1.5613577986246907,34
816,13,36,1.5330631870489937,34
817,13,37,1.54515219719895,34
818,13,38,1.5109975072362978,34
819,13,39,1.3918285629048066,34
820,13,40,1.5181075072174652,34
821,13,41,1.525333493280578,34
822,13,42,1.6656139429825187,34
823,13,43,1.4252902657624795,34
824,13,44,1.562512654403552,34
825,13,45,1.4516607643577668,34
826,13,46,1.466079146583445,34
827,13,47,1.557651321714028,34
828,13,48,1.309571754606869,34
829,13,49,1.4252902657624795,34
830,13,50,1.4978098303037495,34
831,13,51,1.5517912433270729,34
832,13,52,1.5181075072174652,34
833,13,53,1.5668838169389485,34
834,13,54,1.5517912433270729,34
835,13,55,1.6074550991954883,34
836,13,56,1.4602047071652169,34
837,13,57,1.4516607643577664,34
838,13,58,1.5024584196986575,34
839,13,59,1.4516607643577664,34
840,14,0,1.5432473005196226,34
